Date,AAPL,CSCO,CVX,DIS,GE,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,PEP,PG,SPY,T,WMT,XOM
1997-01-27,214043200,54059400,2565600,4941409,5184669,69532000,3776200,6895500,6329200,4309800,3794179,53263200,8446400,4031200,2108500,3463584,24916200,10231600
1997-01-28,210560000,81343800,2426200,8127217,4767637,58843200,5703600,8941800,8533400,4134200,6289048,64656800,8297100,11404800,4376000,3898121,26057400,7806800
1997-01-29,151704000,147229200,1930600,6216827,3354410,74363200,3595000,5784900,7654800,4242200,6085107,48933600,5630400,7679600,1122700,2508450,17938800,9167600
1997-01-30,139932800,165497400,2604200,4287582,3598169,88168000,5495600,6004500,5516800,3658600,6203112,79937600,4385800,6763600,2126300,1824737,19599000,7275600
1997-01-31,199628800,115404300,2857600,2807501,4364126,100647200,5477800,5914500,8654800,4074800,7578088,86516000,5257700,4448800,3208100,3180248,34239600,7671200
1997-02-03,368110400,79377300,2105800,3428485,3414254,77328000,3522600,8414100,7693400,3334600,4274163,60804800,4219500,4597600,755000,3070886,15994800,4998400
1997-02-04,712644800,158326200,1744600,2282615,3102012,89346400,3740200,11133900,7997800,3426200,4399294,56464000,10917200,4416000,654100,2473232,13087200,4296400
1997-02-05,394486400,292629600,2735800,4935023,4389666,187991200,4873600,9707100,7809800,4290800,4227213,110099200,11708400,5204000,2255400,3780814,30084600,7312400
1997-02-06,399504000,126946800,3222400,5346477,3187021,180376800,4416400,5099100,6090800,5464800,5679322,102122400,6027300,6053600,2483100,2787285,23266200,6778000
1997-02-07,235267200,156105000,2591600,4492549,2745826,117951200,5465600,7869600,6966000,4467800,4826250,62448000,4643200,6773200,2321000,3111135,23305200,6350400
1997-02-10,185404800,298277100,2919400,5932184,2731554,126322400,5756400,6654000,4787000,4214600,4239998,66804800,3711900,5654000,1670000,3612666,22379400,7146400
1997-02-11,140078400,201881700,3757800,3702179,2847737,151842400,3926200,5064600,4324600,4066200,4075882,88834400,3102300,4994400,1664300,2227498,24908400,7511600
1997-02-12,176265600,114453000,3435200,3349721,3523051,112742400,6457800,7086900,7335800,4405800,7465323,72001600,4532800,4834000,2675400,2432982,21640800,6398800
1997-02-13,195832000,109661400,1950400,5871668,3520046,96499200,6746800,8763000,7387800,4397800,8343338,58292000,4405200,7461600,1104800,3513366,29796000,6218800
1997-02-14,237249600,72760500,3173600,5751242,3187272,69313600,5013800,5940000,5933000,3244600,8403074,57395200,5225100,5000400,1112900,2642439,18484800,5278800
1997-02-18,368278400,64241100,2039600,4178104,2971807,60033600,4669200,7382700,5406800,3967000,7383370,52545600,3515400,5121200,833100,1897027,23056800,6079600
1997-02-19,241292800,55054800,1750400,3627065,3282547,55190400,3642400,9734100,5995200,3910400,5229939,56383200,4414500,4068000,648100,1908678,21810000,6006000
1997-02-20,124947200,65496600,2163600,3056260,3364301,128985600,5090800,8085900,5168600,3257600,6116128,75395200,6854800,5118800,1193900,2916242,24478200,5407600
1997-02-21,211086400,214328700,2235600,3787633,3394724,127490400,5542600,4575600,8153200,3998400,8116970,61131200,8611900,4340800,1844400,1926950,24815400,7830400
1997-02-24,117588800,212261400,1628200,2936746,2271329,131964800,4015200,4150200,6032000,3337400,5534488,68599200,4923200,4254000,787300,4704702,22258200,5684800
1997-02-25,138084800,258530400,2772600,3176077,2654182,99163200,5305000,6026700,5326600,6855600,6810533,63941600,3833700,3356400,1653900,2655679,67507200,7982400
1997-02-26,103174400,122900400,2572000,4450887,3727748,94690400,6517800,6768900,7813600,17291600,7383579,48849600,5652600,4652000,1597800,1976997,56363400,8542800
1997-02-27,102995200,113255100,2530400,3157527,2546888,101312000,4441600,6362100,6025400,14024600,5881795,56628800,4063000,3724400,1813100,2991181,34198800,6464400
1997-02-28,121878400,130448700,2768800,3165433,3649124,149775200,4997200,6648000,5767400,8328000,8489219,78412000,4453800,4732400,2961200,4317829,21207000,8335200
1997-03-03,130457600,112053600,3617600,4591080,2950899,82524000,3558000,9982500,5929600,8649400,5721242,53874400,2895600,3390800,1210400,2624433,25725000,7055200
1997-03-04,103196800,121943700,3381800,4236493,2940758,120270400,4261600,6625800,7598400,8553600,6082382,63920800,3983800,4005200,1478700,3112724,18439800,6320000
1997-03-05,96163200,94077000,2605800,4666498,3359794,99617600,5379200,7069500,7617000,7285800,6519189,46393600,4086000,4307600,1254800,4555884,17933400,4801200
1997-03-06,116289600,113434200,4514400,4663457,3949723,115592000,4513800,5694000,10409400,5246200,5380432,57018400,4370600,5461600,1528500,5682608,38880600,9556800
1997-03-07,70616000,218188800,2747200,4803649,2470142,86213600,5577600,7506300,4057000,3394200,7589197,46032000,4196000,6548000,1859300,3607635,21464400,5822400
1997-03-10,99187200,273512700,3081400,2586113,2870022,82115200,3289800,5963400,6053600,3127000,5720403,45997600,2817200,6409600,1074900,1721730,21765600,7036000
1997-03-11,98504000,122526000,2051800,3054435,2478280,80986400,3427200,8956200,6334000,3278400,3976112,47577600,4694300,6440800,624600,2001623,23337600,6780800
1997-03-12,70996800,122814900,1745400,3586619,2485040,98388000,4302600,8952900,5602800,3595000,3958925,43234400,4182800,4914000,1055600,2755509,61834800,7088800
1997-03-13,105089600,111025800,1237800,3147187,3066206,90898400,8867200,13079400,8282200,4580000,5238952,45505600,3827700,4087200,2514100,3889647,61971000,5036400
1997-03-14,230417600,129303900,1674000,4352661,3070463,81598400,6664600,9712200,6156600,5487600,10417120,61327200,4452600,6746000,1642700,3035667,38955600,4931200
1997-03-17,192752000,161420400,1632000,3428789,3226709,161466400,7228200,9623700,5342800,11662000,9014896,83958400,4335500,5148000,3013500,2557438,24735600,7701600
1997-03-18,127075200,93579300,2189000,3159351,2637280,95223200,4520800,10223100,5711800,8648400,5616651,59012000,4538900,3482400,1352500,1881669,31293600,6582000
1997-03-19,208230400,198211500,2679800,2906944,2725544,134926400,8256400,8364000,6087200,7360200,6582069,111560000,4532700,4761200,1510000,2951726,57570600,7713600
1997-03-20,317038400,114648300,2249200,2584592,2434461,107778400,4417600,8526600,4601200,5365200,5254253,81410400,4527100,3168000,1808200,2349306,33379800,4506400
1997-03-21,136460800,140990400,2805600,4189356,4067408,82396800,6286800,4733400,9848000,4776200,8786642,85829600,5043800,6114800,2810600,3330125,35789400,10179200
1997-03-24,71220800,205107300,3546000,3818044,3183015,169920800,3515800,6365100,6487000,3209200,7326358,186269600,2857200,4010400,2145600,3284579,22221000,6495600
1997-03-25,112560000,148890600,2812600,3842068,3442048,115583200,3796000,6631200,6652000,3096800,6870269,89701600,3316300,4492000,2125800,1972495,49317600,10482000
1997-03-26,106836800,162160200,2471200,3138064,2467513,127732800,4532400,9169500,7335200,5215800,4747021,81270400,2782500,4830800,1335300,1753241,37942200,12832400
1997-03-27,1138905600,141010200,3842000,4019057,4358617,140616000,5258600,9757500,9268200,6255200,6247966,93919200,3808700,7318000,2898500,4064150,27013800,13666400
1997-03-31,970244800,125262000,3971200,5098327,6808602,107790400,8000400,11529600,13222800,5433000,10961870,93825600,4782300,9397200,4270700,4380057,36329400,12079200
1997-04-01,220259200,113168700,3062400,4323163,5383482,90782400,6988600,12522300,10285200,4645800,9848266,86680800,3868000,6710400,3210900,3066119,22222200,9022000
1997-04-02,222432000,99843300,3680000,4245312,4272356,102557600,4782600,8174400,5577000,3888200,5134362,63331200,3449500,4986800,2672700,4190990,21367200,8843600
1997-04-03,548856000,124735500,4930200,3401723,4574958,102904800,5006600,10573800,6560000,5837600,6376870,92252800,2689700,4430800,2284200,3162771,30064800,11811200
1997-04-04,475249600,138881700,3060000,3582058,4604505,125324800,6054200,9717000,6555400,4460200,6600094,94964000,3565800,5560800,3706700,3548055,24543600,12000800
1997-04-07,255259200,146371500,2643000,2001318,2745075,98964000,4778200,5608200,4746800,3753000,4384622,76511200,2906300,3476000,2596200,5122821,11898000,9298800
1997-04-08,193827200,109752300,1556400,2164927,2439969,84747200,4080200,8145300,4562400,6434400,5764210,53339200,2350800,5269200,1822700,3751422,20295000,7289600
1997-04-09,244988800,97308000,1636200,2185606,2770991,81705600,4495800,7227000,4871200,5257600,21814749,73762400,3126100,8028000,2453200,2168447,20265600,5940800
1997-04-10,116984000,85676400,1869000,4064065,2428326,123181600,4076000,5702400,3512200,3879000,10913034,67913600,3667500,4134800,1996500,2979000,14710200,6008800
1997-04-11,79564800,77760000,2189200,5238824,3634351,192564000,4293600,10715700,9281800,4141200,6808646,60033600,3315600,5085600,4221600,4171394,18838200,6886000
1997-04-14,112358400,80044200,2885200,4347187,2768988,154790400,4993800,7537800,9076800,3791400,6538472,59107200,3160100,4534800,3988500,3335421,19567800,5986600
1997-04-15,136046400,173831400,1618200,3650177,3867093,199704800,4919400,10049100,9081200,5197600,7630698,84440000,3499200,6823600,2760400,2926570,17716800,5889200
1997-04-16,86217600,215808300,1876200,5376584,3808375,100414400,5505800,16188000,7066000,9353000,7143797,42710400,3661400,6817600,2273300,3186868,27028800,6772600
1997-04-17,219464000,110210400,1739600,3388039,3542832,130948000,3782600,14421600,6547600,9596800,5867542,71720800,4172200,4454800,1386000,2228557,12475200,6362600
1997-04-18,141444800,97686000,1910600,3419970,3541079,106872000,4817000,8156700,7851400,6123000,5724176,231764000,3096800,4536400,1702100,2768749,18837600,8392600
1997-04-21,89152000,104471100,2702600,4290015,2560033,89620000,5144400,11726700,6825800,6436400,4474541,155695200,2270300,4710000,2809400,1463285,15478200,7368600
1997-04-22,94651200,151152300,2169400,6543132,4990363,81165600,8217000,13881600,10975200,5107800,6778883,82300000,3516200,6814800,3215000,2843158,18840000,7606200
1997-04-23,54488000,105604200,2097000,6824126,3752537,121205600,4218800,10015800,7897400,5091800,6002944,102814400,2346000,6715200,2047700,2389820,18711000,6020400
1997-04-24,74939200,124620300,2386800,4221591,2948395,118114400,3352400,9693900,4965000,3032200,4383994,118163200,2536500,7040000,2689900,3030106,12900000,5952400
1997-04-25,87382400,87183000,1133600,3439736,1947318,79637600,2530200,7860300,3983000,2203400,3040248,58566400,4437000,6211600,1606200,4452347,12228000,5656200
1997-04-28,46771200,117769500,1579200,3099747,2461628,80194400,3853000,9888600,4662200,2852000,3775525,67224000,4560900,5208800,1666500,3731297,12478800,5476800
1997-04-29,51755200,112164300,1930600,6760568,3715729,84341600,5456400,12561600,8004600,4940600,6079658,73953600,12075500,6612400,3197400,5370409,16822200,7185400
1997-04-30,257633600,169065000,3392400,7077141,4191479,122580000,4504600,11242800,8171000,6029800,7388610,90204000,6030300,4928400,3372200,4269106,25583400,7660400
1997-05-01,72340800,120894300,1878400,3428789,2440595,96868000,3524800,9842400,6145400,2968800,5152597,72325600,5352700,4005600,2149500,4465322,15962400,5690800
1997-05-02,101987200,218214900,2149200,3553472,3346773,77264000,3468000,8267400,5663200,2214400,5674291,96192000,4673000,3853200,1448300,5043646,15471600,7339400
1997-05-05,98492800,190603800,2431600,4316472,4062150,104702400,4181600,7254600,7260200,3310800,6822690,111063200,6794300,5349600,3636200,3663508,37153200,8766000
1997-05-06,83148800,189690300,3421400,4445413,4467539,103409600,5385600,11673900,10744400,4004000,7872786,74770400,5609300,7230400,1721100,3990271,24093600,8804200
1997-05-07,114217600,253231200,2225000,3491738,3765433,81708000,4477600,8609700,6473600,3763600,4541403,70532800,3683700,5129600,2327200,3926719,19473600,7335600
1997-05-08,82936000,188520300,2659800,4809123,4511733,99770400,4500400,8808000,8315800,3374800,5198709,53834400,3900900,6456000,2923700,7339197,31178400,8505800
1997-05-09,188372800,121214700,1842600,3524278,4242559,93159200,2954000,8329800,6832400,6367800,4773640,58392000,3272100,4464000,2558200,3256775,15476400,8291600
