Date,AAPL,JPM,MSFT
1993-05-06,70459200,3900300,47244800
1993-05-07,81894400,1756800,31798400
1993-05-10,137928000,1441800,69091200
1993-05-11,158379200,2325900,38220800
1993-05-12,105224000,1453500,48272000
1993-05-13,361726400,3639300,43708800
1993-05-14,117409600,5389800,49116800
1993-05-17,69641600,8010000,27763200
1993-05-18,163475200,7476900,84185600
1993-05-19,172771200,5709900,181017600
1993-05-20,290528000,3152100,150256000
1993-05-21,148198400,2808000,75500800
1993-05-24,150315200,2277600,64252800
1993-05-25,180723200,2683800,36716800
1993-05-26,121564800,3028800,87484800
1993-05-27,197288000,2851200,95052800
1993-05-28,183948800,2521500,35136000
1993-06-01,135072000,1998600,173088000
1993-06-02,200480000,3053400,70710400
1993-06-03,156856000,1522200,23936000
1993-06-04,213684800,2065500,32652800
1993-06-07,482305600,5410200,52761600
1993-06-08,621096000,3636000,48131200
1993-06-09,1178419200,3187200,62480000
1993-06-10,553705600,1970100,56544000
1993-06-11,242323200,3445200,67542400
1993-06-14,249491200,3276900,40489600
1993-06-15,448324800,2433600,42345600
1993-06-16,353080000,2145000,66966400
1993-06-17,409438400,2749200,28083200
1993-06-18,311292800,2809500,75910400
1993-06-21,273582400,4551300,68102400
1993-06-22,336380800,3794100,41062400
1993-06-23,180723200,3176700,33129600
1993-06-24,222835200,3156600,35782400
1993-06-25,257163200,1457100,45484800
1993-06-28,353617600,2979300,52224000
1993-06-29,294268800,3217200,42361600
1993-06-30,200256000,2120400,56422400
1993-07-01,218164800,2742900,57907200
1993-07-02,191632000,2380200,25404800
1993-07-06,155254400,3195900,47721600
1993-07-07,227035200,3023100,182569600
1993-07-08,138969600,3139800,70105600
1993-07-09,156878400,1985400,50000000
1993-07-12,173880000,1575600,26540800
1993-07-13,158110400,2339400,36476800
1993-07-14,246299200,2247600,43491200
1993-07-15,338038400,2260500,34432000
1993-07-16,2120596800,2099700,86217600
1993-07-19,806232000,1982400,122435200
1993-07-20,531910400,4726200,74822400
1993-07-21,455907200,3030300,178963200
1993-07-22,211176000,3376200,147584000
1993-07-23,233777600,1829400,92790400
1993-07-26,152824000,1712400,65801600
1993-07-27,198609600,1935000,112220800
1993-07-28,91795200,2204700,113459200
1993-07-29,121374400,3465900,96534400
1993-07-30,214446400,2137200,287936000
1993-08-02,216305600,1668000,148208000
1993-08-03,176478400,2277000,85136000
1993-08-04,242995200,2499900,94416000
